( B04___07_John________ESSWYIN1DA_00001 "John" )
( B04___07_John________ESSWYIN1DA_00002 "Kingunganeng taam Jesus igleghakaq Galilee-mi." )
( B04___07_John________ESSWYIN1DA_00003 "Igleghayugumangilnguq Judea-mi, qayughllak Jews-et igleghutistengit tamaanlenguut tuqusugukangat." )
( B04___07_John________ESSWYIN1DA_00004 "Jews-et neqenghaghqelleghqaat aatqelghii tabernacles-meng kaasaghtungestalghii." )
( B04___07_John________ESSWYIN1DA_00005 "Jesus-em anglegutangita pikaat, “Aghulaqi maaken, aglaa Judea-mun maligsaaghteten esghapagesqelluki allaaghlluwhaghtilleghpeneng." )
( B04___07_John________ESSWYIN1DA_00006 "Kitum alngunak apeghseghuuyulghiim aksaqigataa salleni." )
( B04___07_John________ESSWYIN1DA_00007 "Enkaam tawaten pinaqngukuvek tamaghhaghmi yugem esghapagliten!”" )
( B04___07_John________ESSWYIN1DA_00008 "(Talwa anglegutangita Jesus ugpeqenghilkangat.)" )
( B04___07_John________ESSWYIN1DA_00009 "Jesus-em anglegutni pikii, “Judea-telleghqaqa salin kaasigatuq, iwernga elpesi alngunak aghneghni piyaghqaagusi." )
( B04___07_John________ESSWYIN1DA_00010 "Nunam yugan ugumiknaanghitiisi, whanga ugumikaatnga qayughllak aapghaqegkegka seghleq atuqaqegkangat." )
( B04___07_John________ESSWYIN1DA_00011 "Enkaam elpesi neqenghaghqelghiinun pitek;" )
( B04___07_John________ESSWYIN1DA_00012 "whanga pinaqenghitunga qayughllak aghneqa salin kaasigatuq.”" )
( B04___07_John________ESSWYIN1DA_00013 "Jesus-em tawaten piluki ellnga Galilee-metkaq." )
( B04___07_John________ESSWYIN1DA_00014 "Jesus-em anglegutangi neqenghaghqemmun pikat." )
( B04___07_John________ESSWYIN1DA_00015 "Taagken kingungitneng yugnun esghaghtesukaghpenani ellngallu pikaq." )
( B04___07_John________ESSWYIN1DA_00016 "Neqenghaghqemmi Jews-et igleghutistengita ivaqaat Jesus, pimaghmeng, “Naagu taana yuuk?”" )
( B04___07_John________ESSWYIN1DA_00017 "Uglapiglleghhiit yuget tawanlenguut sigutquutkegkaat Jesus." )
( B04___07_John________ESSWYIN1DA_00018 "Ilangita pikaat, “Jesus piniipigtuq yuuk.” Ilangita pikaat, “Nakaa, puughtaqii yuget.”" )
( B04___07_John________ESSWYIN1DA_00019 "Iwernga kitum alngunak qaayngakun akuzitkumangilkanga Jesus, alingluni Jews-et igleghutistengitneng." )
