a	oh!	particle; expresses surprise; a, taawa ‘oh, there it is’; a, ima aviituq ‘oh, it's not there anymore’	а	
aa1	darn!	particle; pronounced with breathy voice to indicate exasperation	ā1	
aa2, aa-a	yes	particle; an expression of approval or agreement; aanaqsiin? ‘are you going out?’ -- aa ‘yes’	ā2, ā-а	
aafkagh-	to burst	aafkaghtuq ‘it burst’; aafkaghaa ‘he burst it’ / Maalghuk ighuk ugugnaghaam ighukek neghumakek. Taagken aghnam pimakanga, aqsanga kenegraamaan, "Kaay aqsan aafkaghllequq." ‘He ate two legs, hind-quarters of the shrew. Then the woman said to him, while poking at his stomach, “Hey, your stomach will burst.” (UNGIPAGHAGH. 80)	āфкаӷ-	
aafkaneghlluk	durable material that will not burst		āфканыҳльюк	ghjxysq øj yfledyjv ghtlvtntπ
aafqugh-	to set things aside; to divide things into groups		āфқуӷ-	
aafte-	to separate from others	aaftuq ‘he separated himself from the others’; aaftaa ‘he separated it from the others, took it from where it was, put it aside’ / aafutut ‘they separated from each other’; = afte-	āфты-	
aag-	to take a side trip	aagtuq ‘he made a side trip’; aagaa ‘he went over to it while on his way to somewhere else’ / aagvik ‘the place to which one makes a side trip’; Sangwaa taakwagun aagaqegkan, tuqutaqigu. ‘If something happens to come by  this way, kill it.’ (UNGAZ. UNGIP. 62)	āг-	
aaga-	to swing	aagaaq ‘it swung’ / aagastaa ‘he made it swing’, ‘he pushed her on the swing’; Aagastaqa qevulliighaatekestaamaan aagalghiinaakun. ‘I began to push her on the swing a little more with each back and forth swinging motion.’ (SULUWET 16)	āга-	
aageste- 	to prolong one's action for a long time; to moan long and mournfully 	aagestuq ‘he let out a long moan or kept his action going for a long time’ / qinuyulghii aagestaataghtuq unulqusiq elngaatall ‘the sick one let out long painful cries throughout the night’; mekelghiighhaq aagestaataghtuq qiyatkelluku ‘the little boy prolonged his wailing as he cried’; qepghallghegni aaghestaak yugem taawa ‘oh my, the man is keeping at his work for as long as he can’	āгысты-	
aaggaatae	whetstone; sharpening stone		āхāтаы	
aaggagh-	to sharpen; to whet		āхаӷ-	
aaggnaqe-	to use sparingly; to economize		āхньақы-	ærjyjvbnm xnj-k>
aaghhaghte-	to move a little by force; to budge; to change one's mind; for there to be an earthquake	aaghhaghtuq ‘it budged, he changed his mind’; aaghhaghtaa ‘he budged it, he changed her mind’ / nuna aaghhaghtuq ‘the ground moved, there was an earthquake’; nguutnguga alangqughiitama aaghhaghluku ilefkaghaghsimaaqa ‘I made the stone in my ring come loose and fall out’; aaghhaghsaghqaghhaanghilnguq yuuk qenwatlu taawa malikruutesimaat ‘they finally persuaded that very stubborn man to go along with their ideas’	āҳаҳты-	
aaghhe-	to move freely (as a rope being pulled, or a person's behavior); to slacken	aaghhuq ‘it (rope) is running free; he (person) is not being restrained nor restraining himself’ / aaghhestaa ‘he is letting it run free’; aaghhestaa uyiiq aghveq awatmun igleghsan ‘he let the whale rope flow out as the whale moved away’; aaghhuq yuuk taana qepghaqamini avelghaqiinaghluki ilani piyukellghinaghmitun ‘that man is getting away with doing whatever he wishes with complete disregard for his co-workers’; aaghhestaat taana taghnughhaq elngaatall ‘they certainly are giving that child free rein’	āҳы-	
aaghheghneq	person that can easily be persuaded		āҳыӷнық	
aaghhneghlliqe-	to be stubborn	Tawaten ataasimi aghneghmi Kiiluuq aaghhneghlliqumalghii esnamun samavek elqwaaghyaghnaluni.’ Then one day Kiiluuq being stubborn went down to the shore to gather seaweed.’ (KIILUUQ 3)	āҳньыҳльиқы-	
aaghhneghlluk	one who is hard to convince; stubborn person; skeptical person		āҳньыҳльюк	
aaghhutagh-	to move by crawling over thin ice	piyaalghii iikusati aaghhutameng aghviimalghii ‘the man who was hunting by foot crossed by drawling  over the thing ice when the cake of ice he was on broke off from the main ice	āҳутаӷ-	
aaghhwe-	to crawl	aaghhuq or aaghhwuq ‘he crawled’; aaghhwaa ‘he crawled over it’ / aaghhwaaghtuq ‘he keeps crawling’; Repall atanga aaghhweregaghmeng aanumalghii, llangaqa pingayuneng ighukelghii. ‘The father went out crawling, looking like he had three legs.’ (UNGIPAGHAGH. 72)	āҳӱы-	
aaghlu	fireball of some sort coming down from mountains (perhaps meteor or comet)	traditionally thought to be connected with a creature dwelling in the rocks behind Gambell; the color is said to be prophetic	āӷлю	
aaghqaghte-1	to take a route different from usual; to detour; to avoid; to evade; to put rope around or across something	aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’	āҳқаҳты-1	
aaghqaghte-2	to urge; to encourage	aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’	āҳқаҳты-2	
aaghqutaate-	to detour; to decide for someone without giving him a say	aaghqutaatestegpenasi seghletun pinaqelghiinun ‘don't let them tell you what to do when they are doing wrong’	āҳқутāты-	
aaghqutaq	a certain ball game	Chukotkan; called kalleghta by most people on St. Lawrence Island	āҳқутақ	
aaghqute-	to comply with the wishes of another	aaghqutaa ‘he did as she wanted’ /	āҳқуты-	
aaghsi	thong holding shank (giimaq) to harpoon shaft	= aghsi	āҳси	
aaghte-1	to move a little; to budge; to change one's mind; for there to be an earthquake		āҳты-1	
aaghte-2	to convince	aaghtaa ‘he convinced her’/	āҳты-2	
aaghtiiraagh-	to argue		āҳтӣрāӷ-	
aaghw-	upside down	postural root; aaghwtuq ‘it turned upside down’; aaghwtaa ‘he turned it upside down’; aaghwngaaq ‘it is upside down’; qayuutat ayumiq aaghwtaaghtestesnanighaqiit ‘long ago they discouraged people from leaving wooden platters upside down’ (probably a superstition)	āӷӱ-	
aaghwqe-	to get bloody	aaghwquq ‘he got bloody’; aaghwqaa ‘he got it bloody’ /	āӷӱқы-	
aaghwtaq	tent with a arched roof; wooden house type with arched roof covered with hide	Chukotkan (R, V&E)	āӱҳтақ	ktnyzz zhfyuf c gjkerheukjq rhsitq\ lthtdzyyjt ;bkbot cjdhtvtyyjuj j,hfpwf
aagna	that one over there; that one going away	extended demonstrative pronoun; base: ag-; localis singular pronoun: agum ‘at the one over there’; vocative singular:  aagyuq ‘you, going away’; absolutive/relative plural pronoun: aagkut ‘those over there’; anaphoric abs. sing. pronoun: taagna ‘that one over there’; adverbial particle: aga ‘over there!’; localis adverb: agani ‘over there’; terminalis adverb: agavek ‘to over there’; vialis adverb: aaggun ‘through over there’; ablative adverb: aagken ‘from over there’; anaphoric adverbial particle: taaga ‘there, over there!’; aagna qilaga pinipigta ‘how nice the sky looks over there!’; aagna uyavaq meq imaghllugituq taaga ‘the sea farther up beyond us is not rough at all’; aagna yuuk angvigapigta ‘how tall that person who is going away is!’; aagna igleghlleghhii qemimelnguq yugaa? ‘is that thing moving up on that hill a person?’	āгна	
aagneghaghte-	to split at the crotch	aagneghaghtuk ‘they2 (pants) split at the crotch’; aagneghaghtaak ‘he split them2 at the crotch’ /	āгныӷаҳты-	
aagneghtu-	to have long steps; to have a long stride		āгныҳту-	
aagneq	crotch of pants; one pace; one step	used in the dual, aagneghek, for one crotch	āгнық	
aagra	insulated inner room of the traditional dome-shaped house, the mangteghapik (q.v.)	Aagram ilungi puqlaghllagulghiit, aghnat ilungani raarwiighesnaghluteng ayuqelghiit sungighluteng, tangyeghusighluteng, tukughusighluteng. ‘Because inside the inner room women are quite warm they wear only underwear plus beads, bracelets and anklets.’ (SIVUQ. NANGAGH. 1:33); aagra is termed polog ‘bed canopy’ in Russian	āгра	
aagralghun	guyline at corner of the aagra, the insulated inner room of traditional dome-shaped house		āгралӷун	
aagriin	ridgepole supporting the aagra, the insulatedinner room of traditional dome-shaped house		āгрӣн	
aagtagh-	to shoot at even though from a distance	neghsaq nuulghii aatak aagtaghyaghaqa ‘I tried shooting at the seal even though it was far away’	āхтаӷ-	
aagte-1	to prolong one's action	= aageste-	āхты-1	
aagte-2	to stumble; to trip	= naagte-	āхты-2	
aagte-3	to keep something secret; to let something pass without mentioning it		āхты-3	
aagute-	to bump into something; to make a side trip for (it)	aagutuq ‘he bumped into something’; aagutaa ‘he bumped into it’, ‘he made a side trip for it’ /	āгуты-	
aagyug-		root: > aagyugneq, aagyugniqe-, aagyugteste-	āгьюг-	
aagyugneq	persistent person	aagyugneghutmineng qepghaqanguq ‘he landed himself a job due to his being a persistent person’	āгьюгнық	
aagyugniqe-	to be stubborn or persistent		āгьюгниқы-	
aagyugteste-	to make (him) stubborn; to provoke	ugumiyugsaghluku milughmilghii aagyugtestaa ‘he provoked him so he continued to throw rocks’	āгьюхтысты-	
aagyugutke-	to pick on	aagyugutkaa ‘he picked on him’ / alingtalghii aagyugutkaat alingseghaghaqluku ‘they picked on the person who is easily frightened by trying to scare him’	āгьюгуткы-	
aahaaleketiiq	a game involving coiled lines drawn on the ground which one follows from the outside inward as a particular song is sung		āгāлыкытӣқ	
