a	oh!	particle; expresses surprise; a, taawa ‘oh, there it is’; a, ima aviituq ‘oh, it's not there anymore’	а	
aa1	darn!	particle; pronounced with breathy voice to indicate exasperation	ā1	
aa2, aa-a	yes	particle; an expression of approval or agreement; aanaqsiin? ‘are you going out?’ -- aa ‘yes’	ā2, ā-а	
aagna	that one over there; that one going away	extended demonstrative pronoun; base: ag-; localis singular pronoun: agum ‘at the one over there’; vocative singular:  aagyuq ‘you, going away’; absolutive/relative plural pronoun: aagkut ‘those over there’; anaphoric abs. sing. pronoun: taagna ‘that one over there’; adverbial particle: aga ‘over there!’; localis adverb: agani ‘over there’; terminalis adverb: agavek ‘to over there’; vialis adverb: aaggun ‘through over there’; ablative adverb: aagken ‘from over there’; anaphoric adverbial particle: taaga ‘there, over there!’; aagna qilaga pinipigta ‘how nice the sky looks over there!’; aagna uyavaq meq imaghllugituq taaga ‘the sea farther up beyond us is not rough at all’; aagna yuuk angvigapigta ‘how tall that person who is going away is!’; aagna igleghlleghhii qemimelnguq yugaa? ‘is that thing moving up on that hill a person?’	āгна	
aam	hesitation sound like English "aah" or "um"	particle	āм	
aamna	that one over there; the one across the sea; that one on the other side of something; that one over the mountains; that one in the other room	obscured demonstrative pronoun; base: am-; localis singular pronoun: amumi ‘in the one on the other side’; vocative singular: aamyuq ‘you, on the other side’; absolutive/relative plural pronoun: aamkut ‘those on the other side’; anaphoric abs. sing. pronoun: taamna ‘that one on the other side’; adverbial particle: ama ‘over there (on the other side)!’; localis adverb: amani ‘on the other side’; terminalis adverb: amavek ‘to the other side’; vialis adverb: amagun or aamggun ‘through the other side’; ablative adverb: amaken or aamken ‘from the other side’; anaphoric adverbial particle: taama ‘there, on the other side!’	āмна	
aamta	as we know from our experience; as we well understand	particle; aamta ellngitlu aghneghmi amighinaqaqeftut whangkutestun ‘they are putting a skin on their boat today just as we are’; aamta ellngitlu seghleliightut taawa ‘oh, they are grieving greatly (a feeling we understand all too well)’; Mekelghiighuluteng, apangiighhaghputlu aagna, apangiighhaghputlu aamta entaqun seghleghllugumayaghtuq.  ‘Being boys, our little grandfather too, that one, our little grandfather also, as we know maybe he would try to be bad (be mischievous).’ (SIVUQ. NANGAGH. 2:24)	āмта	
aamtaam	if that can't be; if that isn't so; if that is so; that being the case	particle; tawani tagilghaaten utaqanaaghamken taawanginaq enkaam aamtaam pipagningiskuvek ungipaannakevnga kitukun ‘come at that time and I'll wait for you, but if you can't, let me know through someone’; tagilghaaten, aamtaam wiin piyunghilkuvek taginghisaghngaaghpek ‘do come over, but if you don't want to, then don't’; taginghisaghngaaghpek aamtaam tagiyukuvek tagilghaaten ‘you don't have to come, but if you want to come, then come’; Aamtaam eltughaanka pillgitngwaaghtut. ‘That being so, my grandchildren treasure the things they have.’ (Sivuq. Nangagh. 3:94); Taawanginaq whanganginanghitunga, anengalguunga. Aamtaam ighlekegkaanganga ugiighnaanghitunga. Aamtaam aangqanganga ugiighllequnga. ‘It’s not only me, I have an older brother. That being the case, if he doesn’t let me I won’t marry you. That being the case, if he does agree I will marry you.’ (UNGIPAGHAGH. 20)	āмтāм	
aamtawha	maybe; probably; trying fruitlessly	particle; aamtawha kiigunneghatni quugmeng suyvaghtuq imawha uksungani naangut ‘he would try to gather enough wood during the summer but would run out in the winter’	āмтаӱьа	
aamtayaghhaq	how well we know	particle, like aamta (q.v.) but stronger	āмтаяҳақ	
aaqun	almost	particle; yuuk sikugni piyugluni aaqun meghquutkaaguq ‘a man walking on the ice practically fell into the water’; Taana ivenrumeng kaatevzighaghput, aaqun kaasimaaghput iitek. ‘We almost reached that one with the outboarrd motor; almost, we got to it, indeed.’ (SIVUQ. NANGAGH. 2:34)	āқун	
aaqunqun	try it anyway; dare	particle	āқунқун	
aataararay	yuck!	particle; expression of disgust or fright	āтāрараӥ	
aatak	do it anyway; give it a try; let's	particle; used to boost morale; Seghleghunaqukut, yulgutmun kaatngwaaghluta tusaqunneghitem seghletun pinaqukut, aatak qitevunnaqigu! ‘Things are going poorly for us, and now that we have come across a fellow human, because we can’t understand each other we have a problem; give it a try, speak to him in the other language!’ (SIVUQ. NANGAGH. 2:124); Aatak naghuyaqellaankuk meteghlluglliqellaankuk piiqagka. ‘(I’ll) give at a try,  I am trying to talk to the seagull and the raven.’ (UNGIPAGHAGH. 109)	āтак	
aatakqun	do it anyway; give it a try; let's	particle, used to boost morale; = aataqun	āтакқун	
aataqun	do it anyway; give it a try; let's	particle; used to boost morale;  = aatakqun	āтақун	
aatawleginaq	for nothing; after all; because	particle; aatawleginaq mughusimaaq, sakengaghsimangituq ‘he went hunting for nothing, he didn’t get anything’; unangataghalluku tagilghaaten aatawleginaq  neghsaghhnaanghituten, ayveghaghnaanghituten ‘come early in the morning, otherwise you won’t get seals or walrus’	āтаӱлыгинақ	
aawaallu	so soon!; already	particle; = aawallu	āӱāлью	
aawallu	so soon!; already	particle; = aawaallu	āӱалью	
aawhkaghhaaneng	for ages (in the past); for quite a while now	particle	āӱькаҳāның	
aawhkan	a while ago (during the same season); a week ago; a month ago	particle	āӱькан	
aawhkaqun	in the springtime	particle	āӱькақун	
aawhkayaghaq	some time ago; a while back	particle	āӱькаяӷақ	
aga	away; gone; there	particle; this is the interjectional form of the demo. adverb aga(ni) from demo. pronoun aagna(q.v.); Amaaghllak aga estunaquq. ‘There he goes, the wolf is about to slide.’  (AYUM. UNGIP. I:7)	ага	
agaghugllaka	oh, what a pity!	particle	агаӷухльяка	
agam	okay, that’s enough	Chukotkan (R); particle	агам	ye. ye ljdjkmyj
agaten	must be the case; unenthusiastic	particle (perhaps two different particles);  agaten aghuliighaqluni igleghtaquq ‘he must be stopping once in a while as he travels’; qeghalguteyeng ataasiq agaten ayuqaqaa ‘they aren’t very enthusiastic about one of their fellow workers’; Ataasit agaten amaallgaat esghaqaghaqanka, pamakaghtat. ‘I’d see an occasional wolfskin [ruff] which must have come from Siberia.’ (SIVUQ. NANGAGH. 1:114)	агатын	
agesta	sh-sh; hush!	Chukotkan (R); particle	агыста	
aghhunneghagu	every day	particle (actually inflected form); literally, ‘whenever day comes upon it’;  = eghhunneghagu	аҳуньыӷагу	
aghhutkun	at dawn	adverbial particle; aghhutkun esla naavuq ‘the weather got bad at dawn’	аҳуткун	
aghnagan	hurry up	particle; aghnagan uyuq emta ‘hurry up you, knowing how you are’	аӷнаган	
aghneghiinaghqun	daily	particle	аӷныӷӣнаҳқун	
aghneghmi	today; during the daytime	particle	аӷныӷми	
aghneghtuumaan	during the day as well	essentially a particle	аӷныҳтӯмāн	lytv b yjxm/
aghneq	day; today (as a particle)	aghneqaghaq ‘earlier today’; Sivuliq aghneq ‘Sunday’; Allgha aghneq ‘Monday’; Pingayaa aghneq ‘Tuesday’; Estamaa aghneq ‘Wednesday’; Tallimaa aghneq ‘Thursday’; Aghvillgha aghneq ‘Friday’; Maaghraghvinlek aghneq ‘Saturday’; Aghnaghaq una qepghaghpenani quunpeng naghaaghllak tamaghhaan aghneq. Aghneq iingunaan qepghanemni, qenwat meghnughaqunga. ‘This girl plays without working every day. When I work all day, I am tired.’ (UNGAZ. UNGIP. 68)	аӷнық	
aghnequn	this afternoon; later today	particle	аӷнықун	
aghneqwaaqun	a little later today	particle	аӷнықӱāқун	
aghsaakun	cleanly	particle	аҳся̄кун	
aghsaan	excessively; overly; too much; not very much	particle; ugket taghyulipalghiim aghsaan taghyughnitkayuguut ‘when you put too much salt in cooked meat it tastes overly salty’; aghsaan tuuneghllagpenanga ‘don't give me too much’; aghsaan mekestaapiwaa ‘how small it is!’; movie aghsaan ayuqeftuq ‘the movie wasn’t very good’	аҳся̄н	
agnepa	probably; maybe; must be	particle; especially in reference to something one wishes were not so; Sangamek qamuqagka qamiyek sangyaghqwaagakek? Agnepa meghnughyingalghiinga. ‘Why has the sled that I’ve been pulling become harder to pull? It must be that I am tired.’ (UNGIPAGHAGH. 123); = awnepa	агныпа	
ahaa	yes; okay; ready	particle; ahaa saaqesteggu taawa nengnguteggu ‘okay now go ahead and start pulling the rope’; “Qamaay! Neghsaghsi tagivaghteggu.” Arepakim pimakanga, “Ahaa tuunaqaqa.” ‘“You in there! Give me your seal.” Said Arepaki, “Okay, I am going to give it to you.”’ (UNGAZ. UNGIP. 27)	агā	
ahaam	enough!; that's enough; all right; so be it	particle; = haam; > ahaamangam	агāм	
ahaamangam	enough!; that's enough; all right; so be it	particle; mekelghiiq kilgaaqughllalghii qenwat nanevgam pimakanga, “Ahaamangam, tawatengam, meghnalilghaaten” ‘a boy was running so much, finally an old man said to him, “There, enough, rest now”’ 	агāмаңам	
ahaaw	is anyone there?	particle; = haaw	агāӱ	
ahay	what? yes? (in answer to a call)	particle	агаӥ	
akugaaq	several days ago; the other day; yesterday	particle: akugaaq ima kaasimalghii Sivungameng ‘he arrived several days ago from Savoonga’	акугāқ	
