aafkagh	to burst
aafqugh	to set things aside; to divide things into groups
aafte	to separate from others
aaga	to swing
aageste 	to prolong one's action for a long time; to moan long and mournfully 
aaggaatae	whetstone; sharpening stone
aaggagh	to sharpen; to whet
aaggnaqe	to use sparingly; to economize
aaghhaghte	to move a little by force; to budge; to change one's mind; for there to be an earthquake
aaghhe	to move freely (as a rope being pulled, or a person's behavior); to slacken
aaghhneghlliqe	to be stubborn
aaghhneghlluk	one who is hard to convince; stubborn person; skeptical person
aaghhutagh	to move by crawling over thin ice
aaghhwe	to crawl
aaghqaghte1	to take a route different from usual; to detour; to avoid; to evade; to put rope around or across something
aaghqaghte2	to urge; to encourage
aaghqutaate	to detour; to decide for someone without giving him a say
aaghqute	to comply with the wishes of another
aaghsi	thong holding shank (giimaq) to harpoon shaft
aaghte1	to move a little; to budge; to change one's mind; for there to be an earthquake
aaghte2	to convince
aaghtiiraagh	to argue
aaghwqe	to get bloody
aagneghaghte	to split at the crotch
aagneghtu	to have long steps; to have a long stride
aagtagh	to shoot at even though from a distance
aagte1	to prolong one's action
aagte2	to stumble; to trip
aagte3	to keep something secret; to let something pass without mentioning it
aag	to take a side trip
aagute	to bump into something; to make a side trip for (it)
aagyugniqe	to be stubborn or persistent
aagyugteste	to make (him) stubborn; to provoke
aagyugutke	to pick on
aalma	block of snow to be used in a heated house
aanesqe	to drive out; to expel; to force somebody to leave
aanestaghagh	to press or squeeze out; to put or thrust out
aane	to go out(side)
aangaayugte	to act as if superior to others; to put on airs; to act conceited
aange	to be big; to be large
aanghuute	to spark as from friction; to make sparks
aangqagh	to play ball
aangqasiigh, aangqasi-	to get ready to throw a ball; to "wind up"
aangwaagh	to be rather big,  big enough
aanighte	to concentrate thought and action on what one is doing
aanleghaate	to leave a building; to rise to the surface
aanleghagh	to seep out; to flow out
aanqaghte	to rush out; to protrude; to bulge
aanqaghtivike	to hit accidentally as with a stone from a sling
aanqutagh	to lead singing
aanqute	to start singing or speaking
aante	to to take out; to bring out; to put out; to give birth to
aanyaghagh	to go out early
aanziigh	to burp; to belch
aapghun	object which is to be sacrificed; prediction
aapte	to ask
aapute	to ask permission; to ask concerning someone or something
aarragh	to dress in fancy clothes
aasliigh	to patch a skin boat
aastu	to be wide; to extend far
aate	to put on (clothes); to dress
aatghute	to go out hunting on foot on the ice
aatneq	slope near the beach; small portion of land extending out into the water
aatqaghtagh	to suddenly and quickly go out (as from room)
